0	 1 0 0 0 0 0
17	 1 16 0 0 0 0
18	 1 17 0 2 0 0
19	 1 18 0 4 0 0
20	 1 19 0 76 0 0
21	 1 20 0 836 0 0
22	 1 21 0 836 0 7
23	 1 22 0 836 0 154
24	 1 23 0 836 0 172
25	 1 24 0 1008 0 172
27	 1 26 0 1008 0 172
28	 1 27 0 1008 0 27
29	 1 28 0 1008 0 756
30	 1 29 0 1008 0 785
31	 1 30 0 1008 0 23550
32	 1 31 0 1008 0 329700
33	 1 32 0 1008 0 10550400
34	 1 33 0 10551408 0 10550400
35	 0 34 0 10551408 0 10550400
1	 0 0 0 10551408 0 10550400
2	 0 1 0 10551408 1 10550400
3	 0 2 1 10551408 1 10550400
4	 0 3 1 10551408 1 1
5	 0 4 1 10551408 1 0
6	 0 5 1 10551408 1 0
8	 0 7 1 10551408 1 0
9	 0 8 2 10551408 1 0
10	 0 9 2 10551408 1 0
11	 0 10 2 10551408 1 0
3	 0 2 2 10551408 1 0
4	 0 3 2 10551408 1 2
5	 0 4 2 10551408 1 0
6	 0 5 2 10551408 1 0
8	 0 7 2 10551408 1 0
9	 0 8 3 10551408 1 0
10	 0 9 3 10551408 1 0
11	 0 10 3 10551408 1 0
3	 0 2 3 10551408 1 0
4	 0 3 3 10551408 1 3
5	 0 4 3 10551408 1 0
6	 0 5 3 10551408 1 0
8	 0 7 3 10551408 1 0
9	 0 8 4 10551408 1 0
10	 0 9 4 10551408 1 0
11	 0 10 4 10551408 1 0
3	 0 2 4 10551408 1 0
4	 0 3 4 10551408 1 4
5	 0 4 4 10551408 1 0
6	 0 5 4 10551408 1 0
8	 0 7 4 10551408 1 0
9	 0 8 5 10551408 1 0
10	 0 9 5 10551408 1 0
11	 0 10 5 10551408 1 0
3	 0 2 5 10551408 1 0
4	 0 3 5 10551408 1 5
5	 0 4 5 10551408 1 0
6	 0 5 5 10551408 1 0
8	 0 7 5 10551408 1 0
9	 0 8 6 10551408 1 0
10	 0 9 6 10551408 1 0
11	 0 10 6 10551408 1 0
3	 0 2 6 10551408 1 0
4	 0 3 6 10551408 1 6
5	 0 4 6 10551408 1 0
6	 0 5 6 10551408 1 0
8	 0 7 6 10551408 1 0
9	 0 8 7 10551408 1 0
10	 0 9 7 10551408 1 0
11	 0 10 7 10551408 1 0
3	 0 2 7 10551408 1 0
4	 0 3 7 10551408 1 7
5	 0 4 7 10551408 1 0
6	 0 5 7 10551408 1 0
8	 0 7 7 10551408 1 0
9	 0 8 8 10551408 1 0
10	 0 9 8 10551408 1 0
11	 0 10 8 10551408 1 0
3	 0 2 8 10551408 1 0
4	 0 3 8 10551408 1 8
5	 0 4 8 10551408 1 0
6	 0 5 8 10551408 1 0
8	 0 7 8 10551408 1 0
9	 0 8 9 10551408 1 0
10	 0 9 9 10551408 1 0
11	 0 10 9 10551408 1 0
3	 0 2 9 10551408 1 0
4	 0 3 9 10551408 1 9
5	 0 4 9 10551408 1 0
6	 0 5 9 10551408 1 0
8	 0 7 9 10551408 1 0
9	 0 8 10 10551408 1 0
10	 0 9 10 10551408 1 0
11	 0 10 10 10551408 1 0
3	 0 2 10 10551408 1 0
4	 0 3 10 10551408 1 10
5	 0 4 10 10551408 1 0
6	 0 5 10 10551408 1 0
8	 0 7 10 10551408 1 0
9	 0 8 11 10551408 1 0
10	 0 9 11 10551408 1 0
11	 0 10 11 10551408 1 0
3	 0 2 11 10551408 1 0
4	 0 3 11 10551408 1 11
5	 0 4 11 10551408 1 0
6	 0 5 11 10551408 1 0
8	 0 7 11 10551408 1 0
9	 0 8 12 10551408 1 0
10	 0 9 12 10551408 1 0
11	 0 10 12 10551408 1 0
3	 0 2 12 10551408 1 0
4	 0 3 12 10551408 1 12
5	 0 4 12 10551408 1 0
6	 0 5 12 10551408 1 0
8	 0 7 12 10551408 1 0
9	 0 8 13 10551408 1 0
10	 0 9 13 10551408 1 0
11	 0 10 13 10551408 1 0
3	 0 2 13 10551408 1 0
4	 0 3 13 10551408 1 13
5	 0 4 13 10551408 1 0
6	 0 5 13 10551408 1 0
8	 0 7 13 10551408 1 0
9	 0 8 14 10551408 1 0
10	 0 9 14 10551408 1 0
11	 0 10 14 10551408 1 0
3	 0 2 14 10551408 1 0
4	 0 3 14 10551408 1 14
5	 0 4 14 10551408 1 0
6	 0 5 14 10551408 1 0
8	 0 7 14 10551408 1 0
9	 0 8 15 10551408 1 0
10	 0 9 15 10551408 1 0
11	 0 10 15 10551408 1 0
3	 0 2 15 10551408 1 0
4	 0 3 15 10551408 1 15
5	 0 4 15 10551408 1 0
6	 0 5 15 10551408 1 0
8	 0 7 15 10551408 1 0
9	 0 8 16 10551408 1 0
10	 0 9 16 10551408 1 0
11	 0 10 16 10551408 1 0
3	 0 2 16 10551408 1 0
4	 0 3 16 10551408 1 16
5	 0 4 16 10551408 1 0
6	 0 5 16 10551408 1 0
8	 0 7 16 10551408 1 0
9	 0 8 17 10551408 1 0
10	 0 9 17 10551408 1 0
11	 0 10 17 10551408 1 0
3	 0 2 17 10551408 1 0
4	 0 3 17 10551408 1 17
5	 0 4 17 10551408 1 0
6	 0 5 17 10551408 1 0
8	 0 7 17 10551408 1 0
9	 0 8 18 10551408 1 0
10	 0 9 18 10551408 1 0
11	 0 10 18 10551408 1 0
3	 0 2 18 10551408 1 0
4	 0 3 18 10551408 1 18
5	 0 4 18 10551408 1 0
6	 0 5 18 10551408 1 0
8	 0 7 18 10551408 1 0
9	 0 8 19 10551408 1 0
10	 0 9 19 10551408 1 0
11	 0 10 19 10551408 1 0
3	 0 2 19 10551408 1 0
4	 0 3 19 10551408 1 19
5	 0 4 19 10551408 1 0
6	 0 5 19 10551408 1 0
8	 0 7 19 10551408 1 0
9	 0 8 20 10551408 1 0
10	 0 9 20 10551408 1 0
11	 0 10 20 10551408 1 0
3	 0 2 20 10551408 1 0
4	 0 3 20 10551408 1 20
5	 0 4 20 10551408 1 0
6	 0 5 20 10551408 1 0
8	 0 7 20 10551408 1 0
9	 0 8 21 10551408 1 0
10	 0 9 21 10551408 1 0
11	 0 10 21 10551408 1 0
3	 0 2 21 10551408 1 0
4	 0 3 21 10551408 1 21
5	 0 4 21 10551408 1 0
